Identificador;Codigo de Lotacao;Registro a Vincular;Unidade Vinculada;Unidade Ativa;Conta Vinculada
32779086;000083.000001.000005.000006.000002.000000;False;False;False;False
DESATIVADOS;000083.000001.000005.000006.000005.000000;False;False;False;False
32797919;000083.000001.000005.000006.000008.000000;False;False;False;False
7910;000083.000001.000005.000006.000008.000000;False;False;False;False
32771413;000083.000000.000000.000000.000000.000015;False;False;False;False
32771089;000035.000000.000000.000000.000000.000052;False;False;False;False
32775295;97.04.00.00.00.000;False;False;False;False
32775320;97.04.00.00.00.000;True;True;False;False
32775316;97.04.00.00.00.000;False;False;False;False
32775292;97.04.00.00.00.000;True;True;False;False
32777722;97.04.00.00.00.000;False;False;False;False
32466001;97.04.00.00.00.000;False;False;False;False
32771054;97.04.01.00.00.000;False;False;False;False
32460015;97.04.01.00.00.000;True;True;False;False
32460130;97.04.01.00.00.000;True;True;False;False
32460131;97.04.01.00.00.000;True;True;False;False
32460132;97.04.01.00.00.000;False;False;False;False
32460134;97.04.01.00.00.000;False;False;False;False
32460135;97.04.01.00.00.000;True;True;False;False
32460136;97.04.01.00.00.000;True;True;False;False
32460138;97.04.01.00.00.000;True;True;False;False
32771459;97.04.01.00.00.000;True;True;False;False
32776351;97.04.01.00.00.000;True;True;False;False
32771484;97.04.01.00.00.000;True;True;False;False
32460267;000097.000001.000010.000000.000000.000000;False;False;False;False
32460052;000097.000001.000000.000000.000000.000000;False;False;False;False
32460254;000097.000001.000011.000000.000000.000000;False;False;False;False
32460044;000097.000001.000014.000000.000000.000000;False;False;False;False
32460050;000097.000001.000013.000000.000000.000000;False;False;False;False
32460269;000097.000001.000012.000000.000000.000000;False;False;False;False
32460271;000097.000001.000012.000000.000000.000000;False;False;False;False
32460140;000097.000001.000010.000000.000000.000000;False;False;False;False
32460270;000097.000001.000010.000000.000000.000000;False;False;False;False
32460247;000097.000001.000000.000000.000000.000000;False;False;False;False
32460239;000097.000001.000000.000000.000000.000000;False;False;False;False
32460188;000097.000003.000008.000000.000000.000000;False;False;False;False
32460172;000097.000003.000008.000000.000000.000000;False;False;False;False
32460169;000097.000003.000008.000000.000000.000000;False;False;False;False
32460174;000097.000003.000008.000000.000000.000000;False;False;False;False
32460173;000097.000003.000008.000000.000000.000000;False;False;False;False
