Identificador;Codigo de Lotacao;Registro a Vincular;Unidade Vinculada;Conta Vinculada
15072231;000094.000000.000015.000065.000000.000000;False;False;False
15396274;000094.000000.000015.000050.000000.000000;False;False;False
111375665;000094.000000.000015.000066.000000.000000;False;False;False
131322532;000094.000000.000015.000067.000000.000000;False;False;False
118343220;000094.000000.000015.000068.000000.000000;False;False;False
126339864;000094.000000.000015.000069.000000.000000;False;False;False
15200159;000094.000000.000015.000009.000000.000000;False;False;False
17281814;000094.000000.000015.000010.000000.000000;False;False;False
18494722;000094.000000.000015.000011.000000.000000;False;False;False
105681865;000094.000000.000015.000012.000000.000000;False;False;False
2565781;000094.000000.000015.000013.000000.000000;False;False;False
18925758;000094.000000.000015.000013.000000.000000;False;False;False
17702411;000094.000000.000015.000013.000000.000000;False;False;False
11920815;000094.000000.000015.000014.000000.000000;False;False;False
101772815;000094.000000.000015.000014.000000.000000;False;False;False
2480522;000094.000000.000015.000015.000000.000000;False;False;False
21726400;000094.000000.000015.000016.000000.000000;False;False;False
2464586;000094.000000.000015.000017.000000.000000;False;False;False
11656310;000094.000000.000015.000017.000000.000000;False;False;False
2464390;000094.000000.000015.000017.000000.000000;False;False;False
2578026;000094.000000.000015.000018.000000.000000;False;False;False
20289961;000094.000000.000015.000019.000000.000000;False;False;False
126857822;000094.000000.000015.000049.000000.000000;False;False;False
126856869;000094.000000.000015.000049.000000.000000;False;False;False
126857008;000094.000000.000015.000049.000000.000000;False;False;False
126857245;000094.000000.000015.000049.000000.000000;False;False;False
126857121;000094.000000.000015.000049.000000.000000;False;False;False
123794714;000094.000000.000015.000049.000000.000000;False;False;False
119480352;000094.000000.000015.000020.000000.000000;False;False;False
105812200;000094.000000.000015.000021.000000.000000;False;False;False
16201990;000094.000000.000015.000021.000000.000000;False;False;False
16445317;000094.000000.000015.000023.000000.000000;False;False;False
103345850;000094.000000.000015.000023.000000.000000;False;False;False
2383284;000094.000000.000015.000024.000000.000000;False;False;False
2383292;000094.000000.000015.000024.000000.000000;False;False;False
16847709;000094.000000.000015.000024.000000.000000;False;False;False
12614831;000094.000000.000015.000025.000000.000000;False;False;False
132452014;000094.000000.000015.000026.000000.000000;False;False;False
26078031;000094.000000.000015.000027.000000.000000;False;False;False
18536930;000094.000000.000015.000029.000000.000000;False;False;False
11217634;000094.000000.000016.000001.000000.000000;False;False;False
111293247;000094.000000.000016.000002.000000.000000;False;False;False
133993833;000094.000000.000016.000027.000000.000000;False;False;False
17890314;000094.000000.000016.000028.000000.000000;False;False;False
10977261;000094.000000.000016.000029.000000.000000;False;False;False
117293041;000094.000000.000016.000030.000000.000000;False;False;False
108317277;000094.000000.000016.000031.000000.000000;False;False;False
16601432;000094.000000.000016.000032.000000.000000;True;False;False
25002121;000094.000000.000016.000033.000000.000000;False;False;False
116791985;000094.000000.000016.000034.000000.000000;False;False;False
17107369;000094.000000.000016.000035.000000.000000;False;False;False
115599711;000094.000000.000016.000036.000000.000000;False;False;False
115392386;000094.000000.000016.000037.000000.000000;False;False;False
11067861;000094.000000.000016.000003.000000.000000;False;False;False
11019280;000094.000000.000016.000004.000000.000000;False;False;False
11019298;000094.000000.000016.000004.000000.000000;False;False;False
11274051;000094.000000.000016.000005.000000.000000;False;False;False
11279877;000094.000000.000016.000005.000000.000000;False;False;False
11150408;000094.000000.000016.000006.000000.000000;False;False;False
18231454;000094.000000.000016.000007.000000.000000;False;False;False
11003537;000094.000000.000016.000008.000000.000000;False;False;False
11192861;000094.000000.000016.000009.000000.000000;False;False;False
20774711;000094.000000.000016.000010.000000.000000;False;False;False
11193247;000094.000000.000016.000011.000000.000000;False;False;False
11253151;000094.000000.000016.000012.000000.000000;False;False;False
11277173;000094.000000.000016.000013.000000.000000;False;False;False
11204788;000094.000000.000016.000014.000000.000000;False;False;False
111121876;000094.000000.000016.000015.000000.000000;False;False;False
127817956;000094.000000.000017.000025.000000.000000;False;False;False
121933172;000094.000000.000017.000026.000000.000000;False;False;False
109546695;000094.000000.000017.000027.000000.000000;False;False;False
104784989;000094.000000.000017.000028.000000.000000;False;False;False
819271;000094.000000.000017.000029.000000.000000;False;False;False
137057709;000094.000000.000017.000030.000000.000000;False;False;False
16928938;000094.000000.000017.000024.000000.000000;False;False;False
115253386;000094.000000.000017.000032.000000.000000;False;False;False
125102101;000094.000000.000017.000001.000000.000000;False;False;False
1092731;000094.000000.000017.000002.000000.000000;False;False;False
12982741;000094.000000.000017.000002.000000.000000;False;False;False
0012549623;000094.000000.000017.000002.000000.000000;False;False;False
00012558265;000094.000000.000017.000002.000000.000000;False;False;False
21276200;000094.000000.000017.000003.000000.000000;False;False;False
880761;000094.000000.000017.000004.000000.000000;False;False;False
865974;000094.000000.000017.000005.000000.000000;False;False;False
117075418;000094.000000.000017.000005.000000.000000;False;False;False
876968;000094.000000.000017.000006.000000.000000;False;False;False
914827;000094.000000.000017.000007.000000.000000;False;False;False
21949506;000094.000000.000017.000008.000000.000000;False;False;False
982563;000094.000000.000017.000009.000000.000000;False;False;False
15192237;000094.000000.000017.000011.000000.000000;False;False;False
806617;000094.000000.000017.000013.000000.000000;False;False;False
826413;000094.000000.000017.000014.000000.000000;False;False;False
14667487;000094.000000.000017.000015.000000.000000;False;False;False
2628082;000094.000000.000019.000001.000000.000000;False;False;False
00121140741;000094.000000.000019.000001.000000.000000;False;False;False
00125954018;000094.000000.000019.000001.000000.000000;False;False;False
11410370;000094.000000.000019.000002.000000.000000;False;False;False
21807965;000094.000000.000019.000003.000000.000000;False;False;False
14112701;000094.000000.000019.000003.000000.000000;True;False;False
125103638;000094.000000.000019.000055.000000.000000;False;False;False
117828408;000094.000000.000019.000057.000000.000000;False;False;False
19840411;000094.000000.000019.000058.000000.000000;False;False;False
102155445;000094.000000.000019.000059.000000.000000;False;False;False
125105398;000094.000000.000019.000052.000000.000000;False;False;False
1059564;000094.000000.000019.000053.000000.000000;False;False;False
132040549;000094.000000.000019.000060.000000.000000;False;False;False
133721051;000094.000000.000019.000061.000000.000000;False;False;False
109713281;000094.000000.000019.000062.000000.000000;False;False;False
130418536;000094.000000.000019.000063.000000.000000;False;False;False
132526581;000094.000000.000019.000064.000000.000000;False;False;False
113569238;000094.000000.000019.000065.000000.000000;False;False;False
114686378;000094.000000.000019.000066.000000.000000;False;False;False
127690051;000094.000000.000019.000067.000000.000000;False;False;False
136602525;000094.000000.000019.000068.000000.000000;False;False;False
139570047;000094.000000.000019.000069.000000.000000;False;False;False
21096571;000094.000000.000019.000070.000000.000000;False;False;False
1086359;000094.000000.000019.000054.000000.000000;False;False;False
21400016;000094.000000.000019.000071.000000.000000;False;False;False
1132849;000094.000000.000019.000072.000000.000000;False;False;False
108229891;000094.000000.000019.000073.000000.000000;False;False;False
133399834;000094.000000.000019.000074.000000.000000;False;False;False
134974441;000094.000000.000019.000075.000000.000000;False;False;False
119154048;000021.000004.000000.000004.000000.000009;False;False;False
1073010;000094.000000.000019.000007.000000.000000;False;False;False
20228384;000094.000000.000019.000008.000000.000000;False;False;False
19250959;000094.000000.000019.000008.000000.000000;False;False;False
19509561;000094.000000.000019.000009.000000.000000;False;False;False
1215264;000094.000000.000019.000010.000000.000000;False;False;False
11410396;000094.000000.000019.000018.000000.000000;False;False;False
138830193;000094.000000.000019.000018.000000.000000;False;False;False
140374801;000094.000000.000019.000018.000000.000000;False;False;False
138830479;000094.000000.000019.000018.000000.000000;False;False;False
138830312;000094.000000.000019.000018.000000.000000;False;False;False
137058047;000094.000000.000019.000011.000000.000000;False;False;False
114752303;000094.000000.000019.000011.000000.000000;False;False;False
107092158;000094.000000.000019.000011.000000.000000;False;False;False
104691760;000094.000000.000019.000012.000000.000000;False;False;False
105306959;000094.000000.000019.000013.000000.000000;False;False;False
153949597;000094.000000.000019.000014.000000.000000;False;False;False
1148311;000094.000000.000019.000014.000000.000000;False;False;False
21156786;000094.000000.000019.000015.000000.000000;False;False;False
18321194;000094.000000.000019.000016.000000.000000;False;False;False
2647451;000094.000000.000019.000016.000000.000000;False;False;False
102624542;000094.000000.000019.000017.000000.000000;False;False;False
1266560;000094.000000.000019.000019.000000.000000;False;False;False
26206226;000094.000000.000019.000020.000000.000000;False;False;False
15305830;000094.000000.000019.000021.000000.000000;False;False;False
1264966;000094.000000.000019.000021.000000.000000;True;False;False
103362207;000094.000000.000019.000022.000000.000000;False;False;False
18415407;000094.000000.000019.000023.000000.000000;False;False;False
14704293;000094.000000.000019.000023.000000.000000;False;False;False
15262561;000094.000000.000019.000024.000000.000000;False;False;False
105738956;000094.000000.000019.000024.000000.000000;False;False;False
212691014;000094.000000.000019.000024.000000.000000;False;False;False
1595440;000094.000000.000019.000025.000000.000000;False;False;False
14892448;000094.000000.000019.000026.000000.000000;False;False;False
108473007;000094.000000.000019.000026.000000.000000;False;False;False
105117340;000094.000000.000019.000026.000000.000000;False;False;False
18394949;000094.000000.000019.000027.000000.000000;False;False;False
1045377;000094.000000.000019.000028.000000.000000;False;False;False
19946899;000094.000000.000019.000030.000000.000000;False;False;False
1587803;000094.000000.000020.000001.000000.000000;False;False;False
1903292;000094.000000.000020.000002.000000.000000;False;False;False
711225;000094.000000.000020.000003.000000.000000;False;False;False
117097063;000094.000000.000020.000004.000000.000000;False;False;False
17023491;000094.000000.000020.000004.000000.000000;False;False;False
110769970;000094.000000.000019.000056.000000.000000;False;False;False
118789783;000094.000000.000020.000037.000000.000000;False;False;False
137511248;000094.000000.000020.000038.000000.000000;False;False;False
106351761;000094.000000.000020.000039.000000.000000;False;False;False
122071671;000094.000000.000020.000040.000000.000000;False;False;False
24923478;000094.000000.000020.000035.000000.000000;False;False;False
127471324;000094.000000.000020.000041.000000.000000;False;False;False
136540431;000094.000000.000020.000042.000000.000000;False;False;False
743399;000094.000000.000020.000036.000000.000000;False;False;False
117876615;000094.000000.000020.000043.000000.000000;False;False;False
133720560;000094.000000.000020.000044.000000.000000;False;False;False
18443907;000094.000000.000020.000045.000000.000000;False;False;False
1833481;000094.000000.000020.000046.000000.000000;False;False;False
1924656;000094.000000.000020.000050.000000.000000;False;False;False
770418;000094.000000.000020.000047.000000.000000;False;False;False
770426;000094.000000.000020.000047.000000.000000;False;False;False
108152057;000094.000000.000020.000048.000000.000000;False;False;False
109447786;000094.000000.000020.000049.000000.000000;False;False;False
111616921;000094.000000.000020.000006.000000.000000;False;False;False
18872964;000094.000000.000020.000006.000000.000000;True;False;False
783421;000075.000000.000008.000000.000000.000098;False;False;False
792268;000094.000000.000020.000007.000000.000000;False;False;False
711284;000094.000000.000020.000009.000000.000000;False;False;False
16781023;000094.000000.000020.000010.000000.000000;False;False;False
13093584;000094.000000.000020.000011.000000.000000;False;False;False
1773879;000094.000000.000020.000011.000000.000000;False;False;False
23589361;000094.000000.000020.000011.000000.000000;False;False;False
1751328;000094.000000.000020.000013.000000.000000;False;False;False
22383433;000094.000000.000020.000013.000000.000000;False;False;False
1584286;000094.000000.000020.000014.000000.000000;False;False;False
723126;000094.000000.000020.000014.000000.000000;False;False;False
114285667;000094.000000.000020.000014.000000.000000;False;False;False
1638611;000094.000000.000020.000032.000000.000000;False;False;False
129901369;000094.000000.000020.000032.000000.000000;False;False;False
22858652;000094.000000.000020.000015.000000.000000;False;False;False
12827223;000094.000000.000020.000015.000000.000000;False;False;False
106059025;000094.000000.000020.000015.000000.000000;False;False;False
18702660;000094.000000.000020.000016.000000.000000;False;False;False
103927999;000094.000000.000020.000016.000000.000000;False;False;False
1636693;000094.000000.000020.000017.000000.000000;False;False;False
2128420;000094.000000.000020.000018.000000.000000;False;False;False
112091709;000094.000000.000018.000001.000000.000000;False;False;False
2801973;000094.000000.000018.000001.000000.000000;False;False;False
2682761;000094.000000.000018.000002.000000.000000;False;False;False
27524442;000094.000000.000018.000002.000000.000000;False;False;False
109725379;000094.000000.000018.000041.000000.000000;False;False;False
111694183;000094.000000.000018.000042.000000.000000;False;False;False
121084787;000094.000000.000018.000043.000000.000000;False;False;False
113334303;000094.000000.000018.000044.000000.000000;False;False;False
127170570;000094.000000.000018.000045.000000.000000;False;False;False
111994799;000094.000000.000018.000046.000000.000000;False;False;False
127170863;000094.000000.000018.000047.000000.000000;False;False;False
114410119;000094.000000.000018.000048.000000.000000;False;False;False
108270351;000094.000000.000018.000049.000000.000000;False;False;False
134077695;000094.000000.000018.000050.000000.000000;False;False;False
20197624;000094.000000.000018.000051.000000.000000;False;False;False
125191332;000094.000000.000018.000052.000000.000000;False;False;False
141884070;000094.000000.000018.000053.000000.000000;False;False;False
128916737;000094.000000.000018.000054.000000.000000;False;False;False
2701863;000094.000000.000018.000055.000000.000000;False;False;False
12301426;000094.000000.000018.000056.000000.000000;False;False;False
135091047;000094.000000.000018.000057.000000.000000;False;False;False
128221160;000094.000000.000018.000058.000000.000000;False;False;False
133020754;000094.000000.000018.000059.000000.000000;False;False;False
118754033;000094.000000.000018.000060.000000.000000;False;False;False
2805570;000094.000000.000018.000003.000000.000000;False;False;False
103180796;000094.000000.000018.000004.000000.000000;False;False;False
2855143;000094.000000.000018.000005.000000.000000;False;False;False
22341773;000094.000000.000018.000006.000000.000000;False;False;False
21997306;000094.000000.000018.000007.000000.000000;False;False;False
106284975;000094.000000.000018.000008.000000.000000;False;False;False
2863669;000094.000000.000018.000009.000000.000000;False;False;False
18154913;000094.000000.000018.000010.000000.000000;False;False;False
19692927;000094.000000.000018.000011.000000.000000;False;False;False
109873700;000094.000000.000018.000011.000000.000000;False;False;False
2651050;000094.000000.000018.000011.000000.000000;False;False;False
2638525;000094.000000.000018.000012.000000.000000;False;False;False
2663414;000094.000000.000018.000013.000000.000000;False;False;False
2783053;000094.000000.000018.000014.000000.000000;False;False;False
15797805;000094.000000.000018.000014.000000.000000;False;False;False
106576640;000094.000000.000018.000015.000000.000000;False;False;False
19829141;000094.000000.000018.000016.000000.000000;False;False;False
2859661;000094.000000.000018.000017.000000.000000;False;False;False
2859840;000094.000000.000018.000017.000000.000000;False;False;False
25535218;000094.000000.000018.000018.000000.000000;False;False;False
126086109;000094.000000.000018.000019.000000.000000;False;False;False
2864771;000094.000000.000018.000020.000000.000000;False;False;False
2123878;000095.000000.000021.000010.000001.000005;False;False;False
133832694;000094.000000.000021.000038.000000.000000;False;False;False
128375272;000094.000000.000021.000030.000000.000000;False;False;False
1991710;000094.000000.000021.000031.000000.000000;False;False;False
2012081;000094.000000.000021.000032.000000.000000;False;False;False
108210511;000094.000000.000021.000027.000000.000000;False;False;False
125587660;000094.000000.000021.000033.000000.000000;False;False;False
109088506;000094.000000.000021.000028.000000.000000;False;False;False
109520271;000094.000000.000021.000034.000000.000000;False;False;False
118188399;000094.000000.000021.000035.000000.000000;False;False;False
134973895;000094.000000.000021.000036.000000.000000;False;False;False
118654705;000094.000000.000021.000037.000000.000000;False;False;False
23856891;000094.000000.000021.000001.000000.000000;False;False;False
2098105;000094.000000.000021.000002.000000.000000;False;False;False
2007134;000094.000000.000021.000003.000000.000000;False;False;False
2007037;000094.000000.000021.000003.000000.000000;False;False;False
116325038;000094.000000.000021.000003.000000.000000;False;False;False
1957996;000094.000000.000021.000004.000000.000000;False;False;False
18995012;000094.000000.000021.000005.000000.000000;False;False;False
149339984;000094.000000.000021.000005.000000.000000;False;False;False
1913280;000094.000000.000021.000006.000000.000000;False;False;False
2605171;000094.000000.000021.000008.000000.000000;False;False;False
1943278;000094.000000.000021.000009.000000.000000;False;False;False
2040051;000094.000000.000021.000010.000000.000000;False;False;False
18499261;000094.000000.000021.000010.000000.000000;False;False;False
18506411;000094.000000.000021.000011.000000.000000;False;False;False
2098016;000094.000000.000021.000013.000000.000000;False;False;False
2021749;000094.000000.000021.000013.000000.000000;False;False;False
2597632;000094.000000.000021.000014.000000.000000;False;False;False
24742716;000094.000000.000021.000015.000000.000000;False;False;False
2400618;000094.000000.000021.000016.000000.000000;False;False;False
19675763;000094.000000.000022.000001.000000.000000;False;False;False
22994432;000094.000000.000022.000002.000000.000000;False;False;False
16295935;000094.000000.000022.000003.000000.000000;False;False;False
118239392;000094.000000.000022.000034.000000.000000;False;False;False
108239519;000094.000000.000022.000035.000000.000000;False;False;False
137581785;000094.000000.000022.000036.000000.000000;False;False;False
137405537;000094.000000.000022.000037.000000.000000;False;False;False
2741369;000094.000000.000022.000032.000000.000000;False;False;False
115342109;000094.000000.000022.000038.000000.000000;False;False;False
129318698;000094.000000.000022.000039.000000.000000;False;False;False
131326911;000094.000000.000022.000040.000000.000000;False;False;False
118434454;000094.000000.000022.000041.000000.000000;False;False;False
131313835;000094.000000.000022.000042.000000.000000;False;False;False
125191600;000094.000000.000022.000043.000000.000000;False;False;False
137057792;000094.000000.000022.000044.000000.000000;False;False;False
135704669;000094.000000.000022.000045.000000.000000;False;False;False
12182524;000094.000000.000022.000046.000000.000000;False;False;False
108638847;000094.000000.000022.000047.000000.000000;False;False;False
3053288;000094.000000.000022.000004.000000.000000;False;False;False
3050807;000094.000000.000022.000005.000000.000000;False;False;False
17397057;000094.000000.000022.000007.000000.000000;False;False;False
3116671;000094.000000.000022.000008.000000.000000;False;False;False
3073688;000094.000000.000022.000008.000000.000000;False;False;False
119835827;000094.000000.000022.000008.000000.000000;False;False;False
1799207;000094.000000.000022.000009.000000.000000;False;False;False
1802666;000094.000000.000022.000009.000000.000000;False;False;False
2658011;000094.000000.000022.000010.000000.000000;False;False;False
277498;000094.000000.000022.000010.000000.000000;False;False;False
1867300;000094.000000.000022.000011.000000.000000;False;False;False
23038501;000094.000000.000022.000012.000000.000000;False;False;False
3056848;000094.000000.000022.000013.000000.000000;False;False;False
12182532;000094.000000.000022.000014.000000.000000;False;False;False
15665771;000094.000000.000022.000014.000000.000000;False;False;False
18451021;000094.000000.000022.000015.000000.000000;False;False;False
3131629;000094.000000.000023.000032.000000.000000;False;False;False
14717450;000094.000000.000023.000032.000000.000000;False;False;False
2984571;000094.000000.000023.000002.000000.000000;False;False;False
2957272;000094.000000.000023.000003.000000.000000;False;False;False
2957965;000094.000000.000023.000003.000000.000000;False;False;False
23472804;000094.000000.000023.000004.000000.000000;False;False;False
2940477;000094.000000.000023.000004.000000.000000;False;False;False
3137244;000094.000000.000023.000005.000000.000000;False;False;False
3137261;000094.000000.000023.000005.000000.000000;False;False;False
00100556515;000094.000000.000023.000005.000000.000000;False;False;False
00100556558;000094.000000.000023.000005.000000.000000;False;False;False
132540151;000094.000000.000023.000006.000000.000000;False;False;False
125103204;000094.000000.000023.000006.000000.000000;False;False;False
14717468;000094.000000.000023.000007.000000.000000;False;False;False
25264711;000094.000000.000023.000007.000000.000000;False;False;False
124236260;000094.000000.000023.000007.000000.000000;False;False;False
16378172;000094.000000.000023.000047.000000.000000;False;False;False
103977635;000094.000000.000023.000050.000000.000000;False;False;False
14851784;000094.000000.000023.000051.000000.000000;False;False;False
118272934;000094.000000.000023.000052.000000.000000;False;False;False
103154825;000094.000000.000023.000053.000000.000000;False;False;False
118275747;000094.000000.000023.000054.000000.000000;False;False;False
131786504;000094.000000.000023.000055.000000.000000;False;False;False
23586648;000094.000000.000023.000048.000000.000000;False;False;False
2974169;000094.000000.000023.000048.000000.000000;False;False;False
131855425;000094.000000.000023.000056.000000.000000;False;False;False
136540163;000094.000000.000023.000057.000000.000000;False;False;False
108278328;000094.000000.000023.000058.000000.000000;False;False;False
14728061;000094.000000.000023.000059.000000.000000;False;False;False
2882124;000094.000000.000023.000060.000000.000000;False;False;False
129317896;000094.000000.000023.000061.000000.000000;False;False;False
120778149;000094.000000.000023.000062.000000.000000;False;False;False
19015313;000094.000000.000023.000008.000000.000000;False;False;False
104149396;000094.000000.000023.000063.000000.000000;False;False;False
15126129;000094.000000.000023.000009.000000.000000;False;False;False
18022553;000094.000000.000023.000010.000000.000000;False;False;False
17590108;000094.000000.000023.000010.000000.000000;False;False;False
111596734;000094.000000.000023.000011.000000.000000;False;False;False
3141179;000094.000000.000023.000012.000000.000000;False;False;False
3143449;000094.000000.000023.000012.000000.000000;False;False;False
3171591;000094.000000.000023.000013.000000.000000;False;False;False
14458438;000094.000000.000023.000014.000000.000000;False;False;False
128172312;000094.000000.000023.000014.000000.000000;False;False;False
20641401;000094.000000.000023.000014.000000.000000;False;False;False
135283736;000094.000000.000023.000015.000000.000000;False;False;False
3106187;000094.000000.000023.000016.000000.000000;False;False;False
2975157;000094.000000.000023.000017.000000.000000;False;False;False
3129209;000094.000000.000023.000018.000000.000000;False;False;False
2949717;000094.000000.000023.000019.000000.000000;False;False;False
15160637;000094.000000.000023.000021.000000.000000;False;False;False
15160645;000094.000000.000023.000021.000000.000000;False;False;False
103454004;000094.000000.000023.000027.000000.000000;False;False;False
15571262;000094.000000.000023.000023.000000.000000;False;False;False
19027435;000094.000000.000023.000023.000000.000000;False;False;False
14738821;000094.000000.000023.000024.000000.000000;False;False;False
3173674;000094.000000.000023.000025.000000.000000;False;False;False
15283470;000094.000000.000023.000026.000000.000000;False;False;False
26221756;000094.000000.000023.000026.000000.000000;False;False;False
15395669;000094.000000.000023.000028.000000.000000;False;False;False
15050084;000094.000000.000023.000030.000000.000000;False;False;False
138003785;000094.000000.000023.000030.000000.000000;False;False;False
114777845;000094.000000.000023.000031.000000.000000;False;False;False
27257665;000094.000000.000023.000031.000000.000000;False;False;False
111494583;000093.000000.000005.000004.000000.000001;False;False;False
109063431;000093.000000.000005.000004.000000.000001;False;False;False
107396891;000093.000000.000006.000003.000000.000000;False;False;False
706680;000093.000000.000006.000004.000000.000003;False;False;False
1670701;000093.000000.000006.000001.000000.000002;False;False;False
20099126;000093.000000.000005.000003.000000.000008;False;False;False
14431904;000093.000000.000005.000005.000000.000005;False;False;False
18684742;000093.000000.000005.000005.000000.000005;False;False;False
112343295;000093.000000.000005.000005.000000.000005;False;False;False
18538576;000093.000000.000005.000005.000000.000005;False;False;False
OUTRO ORGAO;000032.000001.000003.000003.000000.000009;False;False;False
2426714;000018.000004.000000.000017.000000.000006;False;False;False
124407421;000079.000000.000008.000000.000000.000138;False;False;False
120921227;000092.000000.000016.000004.000016.000000;False;False;False
2441471;000095.000000.000015.000020.000000.000001;False;False;False
2443384;000095.000000.000015.000024.000000.000006;False;False;False
102944105;000095.000000.000020.000005.000001.000009;False;False;False
161127231;000071.000000.000008.000002.000000.000018;False;False;False
113288123;000095.000000.000019.000004.000001.000003;False;False;False
103147501;000095.000000.000023.000005.000001.000004;False;False;False
24611921;000095.000000.000017.000007.000001.000000;False;False;False
934976;000095.000000.000017.000002.000001.000002;False;False;False
25582950;000019.000004.000000.000053.000000.000008;False;False;False
111425361;000095.000000.000017.000003.000001.000006;False;False;False
120065681;000095.000000.000021.000002.000001.000000;False;False;False
102001618;000095.000000.000017.000014.000001.000002;False;False;False
18584853;000095.000000.000019.000013.000001.000002;False;False;False
15955192;000095.000000.000019.000016.000001.000003;True;False;False
118737619;000095.000000.000017.000011.000000.000006;False;False;False
915441;000092.000000.000016.000004.000015.000000;False;False;False
102749183;000095.000000.000020.000003.000001.000001;False;False;False
11339071;000095.000000.000017.000031.000000.000001;False;False;False
103479732;000073.000000.000008.000000.000000.000038;False;False;False
20297041;000095.000000.000020.000012.000001.000000;False;False;False
105451835;000095.000000.000023.000001.000001.000000;False;False;False
103266453;000020.000004.000000.000006.000000.000000;True;False;False
22261915;000095.000000.000015.000007.000001.000007;False;False;False
120661845;000095.000000.000023.000012.000001.000006;False;False;False
160254680;000020.000004.000000.000002.000000.000006;False;False;False
115703705;000095.000000.000015.000030.000001.000000;False;False;False
107669765;000095.000000.000017.000041.000000.000004;False;False;False
112100996;000095.000000.000015.000015.000001.000002;False;False;False
133401197;000095.000000.000023.000016.000001.000000;False;False;False
115935274;000095.000000.000020.000014.000001.000008;False;False;False
10965360;000095.000000.000016.000042.000000.000006;False;False;False
112367755;000020.000004.000000.000004.000000.000003;False;False;False
16279387;000095.000000.000015.000028.000001.000006;False;False;False
"2605155
2605163
17358833";000095.000000.000021.000012.000001.000002;False;False;False
125072473;000095.000000.000001.000004.000001.000000;False;False;False
2684195;000025.000004.000006.000000.000000.000007;False;False;False
25348612;000092.000000.000016.000004.000008.000000;False;False;False
112496679;000020.000004.000000.000007.000000.000004;False;False;False
117290238;000095.000000.000016.000001.000001.000007;False;False;False
116182237;000095.000000.000018.000013.000001.000000;False;False;False
16057040;000095.000000.000018.000001.000001.000000;True;False;False
11176288;000095.000000.000016.000007.000001.000009;False;False;False
17374855;000079.000000.000008.000000.000000.000049;False;False;False
2722496;000095.000000.000020.000008.000001.000000;False;False;False
119298821;000095.000000.000018.000002.000001.000004;False;False;False
116401630;000095.000000.000018.000006.000001.000009;False;False;False
20328311;000095.000000.000018.000008.000001.000006;False;False;False
110166051;000095.000000.000018.000009.000001.000000;False;False;False
1067231;000095.000000.000018.000010.000001.000000;False;False;False
132188970;000095.000000.000023.000011.000001.000002;False;False;False
1039253;000095.000000.000018.000013.000002.000006;False;False;False
2527057;000095.000000.000001.000015.000001.000007;False;False;False
106476629;000021.000004.000000.000050.000000.000008;False;False;False
104914491;000095.000000.000015.000029.000002.000005;False;False;False
113660359;000021.000004.000000.000002.000000.000001;False;False;False
116379766;000095.000000.000020.000002.000001.000008;False;False;False
116735643;000095.000000.000020.000013.000002.000000;False;False;False
111987521;000026.000004.000000.000012.000000.000001;False;False;False
19238100;000021.000004.000000.000016.000000.000009;False;False;False
104263270;000095.000000.000001.000014.000001.000003;False;False;False
113610084;000092.000000.000016.000004.000011.000000;False;False;False
115812474;000095.000000.000020.000020.000001.000006;False;False;False
11072067;000032.000000.000000.000000.000000.000030;False;False;False
16573293;000079.000000.000008.000000.000000.000090;False;False;False
108777031;000071.000000.000008.000000.000000.000096;False;False;False
