Identificador;Codigo de Lotacao;Registro a Vincular;Unidade Vinculada;Unidade Ativa;Conta Vinculada
32774630;000059.000000.000000.000000.000000.000000;False;False;False;False
32460226;000059.000001.000001.000000.000000.000000;False;False;False;False
32460312;000059.000001.000000.000000.000000.000000;False;False;False;False
32460338;000059.000000.000000.000000.000000.000008;False;False;False;False
32460317;000059.000001.000003.000000.000000.000000;False;False;False;False
32460094;000059.000000.000001.000002.000000.000000;False;False;False;False
32460321;000059.000000.000001.000003.000000.000000;False;False;False;False
32460144;000059.000001.000005.000000.000000.000000;False;False;False;False
